t_osc,t_clk1,t_clk2,t_clk3,dt_osc,dt1,dt2,dt3
230,47.15,47.0,46.85,2,1.11,0.72,0.36
1770,432.78,432.64,432.43,10,1.05,0.83,0.50
2560,629.73,629.55,629.38,20,1.08,0.94,0.49
4000,988.77,988.66,988.47,20,1.18,0.86,0.50
6000,1489.21,1489.05,1488.86,40,1.07,0.77,0.35
8200,2037.73,2037.55,2037.36,40,0.98,0.90,0.48
10300,2559.47,2559.35,2559.13,100,1.14,0.83,0.33
12500,3113.15,3113.02,3112.82,100,1.08,0.69,0.39
14000,3481.11,3480.94,3480.75,100,1.20,0.96,0.60
15000,3750.71,3750.63,3750.46,100,1.39,0.94,0.65
