N_event,t_trig,tP1,tP2,tP3
0,2.144,3114,3114,3113
1,2.159,3107,3113,3113
2,2.175,3113,3113,3113
3,2.191,3113,3113,3113
4,2.207,3113,3113,3112
5,2.223,3113,3113,3112
6,2.255,3113,3113,3113
7,2.271,3113,3113,3112
8,2.287,3113,3113,3113
9,2.303,3113,3113,3112
10,2.319,3113,3113,3112
11,2.335,3113,3113,3113
12,2.367,3114,3113,3113
13,2.383,3113,3113,3112
14,2.399,3113,3113,3112
15,2.415,3114,3113,3113
16,2.431,3114,3113,3113
17,2.447,3113,3113,3112
18,2.479,3113,3113,3113
19,2.495,3113,3113,3112
20,2.512,3114,3110,3113
21,2.527,3113,3113,3113
22,2.544,3114,3110,3113
23,2.559,3114,3114,3113
24,2.591,3113,3113,3113
25,2.607,3113,3113,3112
26,2.623,3114,3114,3113
27,2.64,3113,3113,3112
28,2.655,3113,3113,3113
29,2.671,3114,3113,3113
30,2.687,3114,3114,3113
31,2.719,3113,3113,3113
32,2.735,3114,3110,3113
33,2.751,3113,3113,3113
34,2.767,3113,3113,3113
35,2.783,3114,3113,3113
36,2.799,3114,3114,3113
37,2.831,3114,3114,3113
38,2.847,3114,3114,3113
39,2.863,3113,3113,3113
40,2.88,3113,3113,3113
41,2.895,3113,3113,3113
42,2.911,3113,3113,3113
43,2.943,3113,3113,3113
44,2.959,3113,3113,3113
45,2.975,3113,3113,3113
46,2.991,3113,3113,3113
47,3.007,3113,3113,3113
48,3.023,3107,3113,3113
49,3.055,3113,3113,3112
50,3.071,3113,3113,3113
51,3.088,3107,3113,3113
52,3.104,3113,3113,3113
53,3.12,3113,3113,3113
54,3.135,3113,3113,3113
55,3.152,3114,3114,3113
56,3.183,3113,3113,3112
57,3.199,3114,3110,3113
58,3.216,3114,3114,3113
59,3.231,3113,3113,3113
60,3.247,3114,3113,3113
61,3.263,3113,3113,3112
62,3.295,3113,3113,3112
63,3.311,3113,3113,3113
64,3.328,3113,3113,3113
65,3.343,3113,3113,3113
66,3.359,3113,3113,3112
67,3.375,3113,3113,3113
68,3.407,3114,3114,3113
69,3.423,3113,3113,3113
70,3.439,3114,3113,3113
71,3.455,3114,3110,3113
72,3.471,3113,3113,3113
73,3.487,3113,3113,3113
74,3.519,3113,3113,3112
75,3.535,3113,3113,3113
76,3.551,3113,3113,3112
77,3.567,3113,3113,3112
78,3.583,3114,3114,3113
79,3.599,3113,3113,3113
80,3.615,3113,3113,3113
81,3.647,3113,3113,3112
82,3.663,3113,3113,3113
83,3.679,3114,3114,3113
84,3.696,3111,3113,3113
85,3.711,3113,3113,3113
86,3.728,3113,3113,3113
87,3.759,3113,3113,3112
88,3.775,3114,3113,3113
89,3.791,3114,3114,3113
90,3.807,3114,3113,3113
91,3.823,3113,3113,3113
92,3.839,3113,3113,3112
93,3.871,3114,3112,3113
94,3.887,3114,3114,3113
95,3.903,3114,3113,3113
96,3.919,3113,3113,3112
97,3.935,3113,3113,3113
98,3.951,3113,3113,3113
99,3.983,3113,3113,3113
100,3.999,3113,3113,3113
101,4.016,3107,3113,3113
102,4.031,3113,3113,3113
103,4.048,3113,3113,3113
104,4.063,3113,3113,3113
105,4.079,3107,3113,3113
106,4.111,3113,3113,3113
107,4.127,3113,3113,3113
108,4.143,3113,3113,3113
109,4.159,3114,3113,3113
110,4.175,3114,3113,3113
111,4.191,3113,3113,3113
112,4.223,3113,3113,3113
113,4.239,3114,3113,3113
