N_event,t_trig,tP1,tP2,tP3
405,4.144,4095,4095,2506
3758,38.382,4095,4095,1935
3842,39.232,4095,4095,2227
6154,62.845,2455,4095,4095
6832,69.757,741,4095,4095
6920,70.655,2310,4095,4095
7772,79.356,4095,4095,1599
10575,107.966,937,4095,4095
10652,108.751,1384,4095,4095
11737,119.835,3219,4095,4095
12657,129.227,4095,121,4095
14115,144.107,4095,3878,4095
15532,158.572,1772,4095,4095
15541,158.666,4095,4095,285
16183,165.213,4095,2926,2927
18384,187.69,1982,4095,4095
23084,235.659,1572,4095,4095
23142,236.251,3194,4095,4095
23879,243.784,969,4095,4095
26030,265.735,148,4095,4095
29075,296.823,3189,4095,4095
29495,301.112,1883,4095,4095
30561,311.99,1347,4095,4095
31733,323.958,2951,4095,4095
31985,326.534,4095,3514,3514
32332,330.071,3508,4095,4095
32920,336.07,3411,4095,4095
35203,359.381,4095,1894,4095
35616,363.592,2292,4095,4095
36311,370.694,3310,4095,4095
38840,396.504,3735,4095,4095
40072,409.092,4095,1384,4095
41844,427.174,4095,1818,4095
42501,433.892,4095,1552,4095
45184,461.283,4095,4095,3975
46068,470.307,2020,4095,4095
47287,482.755,1294,4095,4095
47603,485.974,1860,4095,4095
48742,497.605,4095,124,4095
49459,504.93,4095,2119,4095
49723,507.621,968,4095,4095
51298,523.714,2583,4095,4095
51704,527.858,4095,4095,4073
52208,532.997,2742,4095,4095
53842,549.684,1422,4095,4095
54032,551.633,4095,797,4095
55557,567.201,739,4095,4095
55986,571.585,4095,1994,4095
57248,584.464,4095,3189,4095
57933,591.459,4095,1693,4095
57942,591.553,2317,4095,4095
59595,608.432,2396,4095,4095
60563,618.32,4040,4095,4095
60874,621.49,4095,3427,4095
62153,634.546,4095,4095,3329
62290,635.951,4095,4095,3316
64028,653.695,3539,4095,4095
64535,658.879,4095,4095,946
66027,674.11,3147,4095,4095
66537,679.312,3792,4095,4095
66613,680.094,2925,4095,4095
66735,681.342,2777,4095,4095
67675,690.929,4095,153,4095
69129,705.776,785,4095,4095
70169,716.397,3252,4095,4095
72110,736.208,2109,4095,4095
72168,736.801,4016,4095,4095
74525,760.864,1485,4095,4095
76636,782.414,4095,2578,2578
76939,785.503,1542,4095,4095
78504,801.484,262,4095,4095
79730,813.998,4095,486,4095
80011,816.862,4095,3348,4095
80172,818.509,4095,4095,3685
80396,820.796,4095,46,4095
80974,826.699,4095,1452,4095
82722,844.539,1385,4095,4095
85632,874.25,3437,4095,4095
86643,884.556,966,4095,4095
88492,903.433,3922,4095,4095
88710,905.659,4095,4095,979
89598,914.729,2660,4095,4095
90771,926.697,3276,4095,4095
90804,927.035,4095,4095,1841
91509,934.233,4095,4095,2070
92077,940.027,4095,4095,740
92637,945.752,4095,4095,177
93048,949.944,4095,568,4095
93564,955.208,4095,4095,2966
93979,959.449,4095,4095,1023
94549,965.258,4095,4013,4095
95754,977.56,4095,4095,3495
96406,984.216,474,4095,4095
97500,995.383,3054,4095,4095
98064,1001.143,4095,2925,4095
98451,1005.082,4095,638,4095
98452,1005.095,3297,4095,4095
99384,1014.615,4095,965,966
100601,1027.031,1407,4095,4095
103085,1052.39,3252,4095,4095
105387,1075.88,2652,4095,4095
106126,1083.43,3155,4095,4095
106236,1084.55,2234,4095,4095
