N_event,t_trig,tP2
12657,129.227,121
14115,144.107,3878
16183,165.213,2926
31985,326.534,3514
35203,359.381,1894
40072,409.092,1384
41844,427.174,1818
42501,433.892,1552
48742,497.605,124
49459,504.93,2119
54032,551.633,797
55986,571.585,1994
57248,584.464,3189
57933,591.459,1693
60874,621.49,3427
67675,690.929,153
76636,782.414,2578
79730,813.998,486
80011,816.862,3348
80396,820.796,46
80974,826.699,1452
93048,949.944,568
94549,965.258,4013
98064,1001.143,2925
98451,1005.082,638
99384,1014.615,965
108801,1110.725,2597
110518,1128.247,1697
113545,1159.142,2348
116046,1184.676,3629
119641,1221.379,968
120820,1233.411,3446
122312,1248.629,2947
123159,1257.269,3563
127958,1306.243,2137
129412,1321.089,3339
131873,1346.208,386
136684,1395.298,174
140547,1434.72,512
145326,1483.497,2130
146431,1494.776,805
151981,1551.412,67
154588,1578.019,520
159354,1626.656,3023
164415,1678.301,3406
164509,1679.26,1181
165888,1693.338,3362
175439,1790.807,3374
186477,1903.46,1044
187560,1914.515,2397
188124,1920.273,4064
189101,1930.241,2732
190610,1945.648,2318
200589,2047.485,1193
202050,2062.397,3371
202100,2062.909,490
205328,2095.852,3950
205817,2100.843,1502
205990,2102.604,1991
212862,2172.732,1963
221318,2259.031,1949
222819,2274.342,2713
223344,2279.702,3575
224167,2288.102,642
231160,2359.476,2046
240032,2450.034,1326
242967,2479.985,1048
243060,2480.932,1516
244525,2495.888,1428
245142,2502.192,1960
260813,2662.127,1205
275529,2812.315,3857
276354,2820.744,1639
276885,2826.155,641
278084,2838.394,351
280626,2864.343,1044
281153,2869.719,2397
285379,2912.854,1866
291047,2970.708,3295
292372,2984.228,3782
292903,2989.652,1804
293360,2994.308,1055
294716,3008.147,3037
305283,3116.001,3777
310941,3173.746,3871
316692,3232.446,367
317758,3243.326,1904
318584,3251.758,2459
318660,3252.542,3145
325710,3324.492,2601
326894,3336.572,2283
327027,3337.932,3706
328504,3353.003,2707
329099,3359.084,3683
331461,3383.181,353
332351,3392.267,2841
337607,3445.913,2417
341284,3483.448,3967
344502,3516.281,405
350880,3581.366,42
354498,3618.29,394
355895,3632.547,1247
363305,3708.176,249
363755,3712.767,2850
363995,3715.215,2410
367007,3745.963,2795
367013,3746.027,1008
367911,3755.195,2586
370164,3778.186,3323
373424,3811.448,2208
391213,3993.008,2572
396454,4046.498,2388
396771,4049.743,3643
404513,4128.75,1248
407857,4162.878,298
408050,4164.859,604
408940,4173.932,1928
410666,4191.548,2181
411408,4199.13,1528
415005,4235.835,2602
415747,4243.416,2295
421156,4298.616,3457
422641,4313.769,3197
430249,4391.427,546
