N_event,t_trig,tP1,tP2,tP3
20,14.543,4095,107,4095
28,16.991,113,4095,4095
75,34.03,4095,1278,1277
239,101.596,4095,4095,1295
329,132.859,4095,4095,1175
412,158.507,4095,113,4095
540,204.568,4095,448,4095
615,228.039,4095,2464,4095
671,248.615,174,4095,4095
690,254.168,1367,4095,4095
775,285.11,4095,989,990
814,294.262,73,4095,4095
836,301.51,4095,355,356
1075,371.491,4095,82,82
1099,380.339,4095,288,290
1180,409.331,308,4095,4095
1244,429.97,809,4095,4095
1293,446.529,4095,4095,245
1430,493.184,39,4095,4095
1460,501.472,4095,412,411
1630,555.774,4095,71,72
1812,615.901,4095,4095,378
1977,661.707,23,4095,4095
2082,697.194,1778,4095,4095
2193,737.459,4095,460,460
2241,753.785,117,4095,4095
2246,755.209,4095,756,757
2424,813.479,60,4095,4095
2576,866.966,4095,4095,309
2609,882.388,624,4095,4095
2639,896.532,17,4095,4095
2675,910.196,4095,1177,4095
2713,921.46,2963,4095,4095
2743,930.676,137,4095,4095
2771,938.402,356,4095,4095
2780,940.915,4095,277,278
3077,1052.704,4095,335,4095
3167,1085.887,4095,80,4095
3215,1101.454,4095,1781,1782
3267,1120.542,4095,771,4095
3497,1207.803,4095,19,4095
3514,1212.075,4095,243,240
3572,1230.826,4095,668,4095
3605,1239.738,4095,69,4095
3631,1250.794,12,4095,4095
3646,1257.705,19,4095,4095
3760,1296.473,4095,1322,4095
3786,1306.504,333,4095,4095
3800,1313.16,4095,615,4095
3831,1325.783,2340,4095,4095
4250,1461.587,200,4095,4095
4281,1475.875,387,4095,4095
4305,1483.683,43,4095,4095
4364,1504.482,4095,265,266
4398,1515.954,92,4095,4095
4406,1518.866,4095,1346,1346
4442,1529.762,752,4095,4095
4443,1530.018,686,4095,4095
4475,1540.977,827,4095,4095
4477,1542.108,6,4095,4095
4524,1558.049,4095,127,127
4615,1592.32,4095,4095,660
4655,1607.008,4095,4095,3833
4707,1625.198,4095,34,4095
4715,1627.759,4095,4095,1547
4777,1648.637,4095,1144,4095
4779,1650.222,4095,71,70
5002,1731.036,4095,883,4095
5028,1740.7,4095,1028,4095
5056,1749.675,4095,224,4095
5094,1760.811,45,4095,4095
5104,1763.931,313,4095,4095
5168,1787.77,64,4095,4095
5398,1864.473,4095,1128,4095
5623,1939.302,481,4095,4095
5646,1946.117,4095,555,556
5668,1954.661,4095,1035,1037
5702,1965.077,245,4095,4095
5857,2019.46,4095,4095,740
5897,2037.33,4095,4095,649
5906,2041.683,4095,387,388
5928,2051.827,162,4095,4095
5992,2070.625,535,4095,4095
5993,2070.657,4095,604,604
6035,2087.442,11,4095,4095
6046,2089.185,179,4095,4095
6251,2161.359,443,4095,4095
6265,2167.247,4095,4095,3250
6315,2182.703,7,4095,4095
6618,2284.716,15,4095,4095
6672,2301.259,4095,48,48
6685,2303.771,152,4095,4095
6723,2318.555,4095,12,4095
6786,2344.713,75,4095,4095
6958,2402.28,4095,114,115
6965,2404.44,4095,41,42
6989,2413.032,4095,332,332
7063,2441.351,4095,186,187
7153,2470.279,4095,24,4095
7186,2479.862,50,4095,4095
7211,2488.886,4095,7,4095
7326,2526.116,1837,4095,4095
7411,2560.148,152,4095,4095
7457,2573.844,262,4095,4095
7485,2583.859,61,4095,4095
7487,2584.419,4095,81,4095
7604,2624.818,54,4095,4095
7611,2626.466,4095,578,4095
7884,2724.479,4095,541,4095
7916,2735.466,4095,240,240
7982,2756.223,1205,4095,4095
7984,2757.055,4095,1137,1137
8023,2769.966,1261,4095,4095
8043,2778.383,995,4095,4095
8053,2780.813,333,4095,4095
8103,2802.541,1394,4095,4095
8205,2837.308,4095,142,4095
8220,2842.412,4095,826,827
8333,2886.299,4095,331,4095
8367,2896.49,1854,4095,4095
8377,2899.723,4095,4095,287
