N_event,t_trig,tP3
75,34.03,1277
239,101.596,1295
329,132.859,1175
775,285.11,990
836,301.51,356
1075,371.491,82
1099,380.339,290
1293,446.529,245
1460,501.472,411
1630,555.774,72
1812,615.901,378
2193,737.459,460
2246,755.209,757
2576,866.966,309
2780,940.915,278
3215,1101.454,1782
3514,1212.075,240
4364,1504.482,266
4406,1518.866,1346
4524,1558.049,127
4615,1592.32,660
4655,1607.008,3833
4715,1627.759,1547
4779,1650.222,70
5646,1946.117,556
5668,1954.661,1037
5857,2019.46,740
5897,2037.33,649
5906,2041.683,388
5993,2070.657,604
6265,2167.247,3250
6672,2301.259,48
6958,2402.28,115
6965,2404.44,42
6989,2413.032,332
7063,2441.351,187
7916,2735.466,240
7984,2757.055,1137
8220,2842.412,827
8377,2899.723,287
8393,2905.114,1694
8432,2917.001,71
8503,2940.201,26
8534,2951.032,427
8679,3000.92,161
8974,3108.933,156
9291,3218.529,828
9646,3336.11,531
9657,3342.862,769
9915,3442.891,30
9962,3460.427,103
10035,3487.145,367
10056,3499.418,77
10148,3531.128,159
10215,3556.36,819
10238,3563.928,376
10285,3577.079,727
10463,3640.006,198
10792,3755.747,306
10867,3781.954,175
11026,3842.448,2378
11188,3894.014,13
11195,3896.447,183
11549,4023.595,1821
11616,4050.267,515
11755,4100.953,22
11882,4145.175,679
12504,4362.321,54
12641,4414.529,829
12756,4453.519,900
12957,4523.598,337
13249,4633.146,189
13465,4704.456,376
13602,4747.911,1235
13775,4803.509,41
13903,4849.316,991
13931,4859.604,1157
13983,4880.548,30
14108,4929.63,55
14294,5000.512,11
14587,5104.734,1792
14695,5146.012,604
14959,5234.922,12
15012,5249.77,592
15148,5301.785,639
15275,5347.511,953
15455,5411.909,284
15636,5472.692,460
15679,5491.715,343
15802,5536.994,1379
15945,5587.585,1438
16104,5641.055,202
16135,5652.879,1383
16149,5659.871,451
16261,5696.126,1690
16387,5738.541,29
16468,5761.932,1884
16689,5839.626,564
16762,5863.066,2558
16807,5882.409,217
17044,5975.99,755
17050,5979.719,854
17833,6273.135,806
18296,6441.642,1793
18333,6455.77,706
18719,6594.566,111
18901,6657.093,58
18962,6681.572,555
19178,6755.538,1258
19248,6779.73,970
19680,6932.414,354
20018,7049.85,272
20047,7059.738,934
20312,7170.647,387
20477,7240.677,226
20484,7243.478,413
20648,7305.796,2036
20703,7326.147,276
20738,7339.155,1084
20745,7341.907,130
20841,7369.746,67
21025,7435.168,285
21100,7463.553,975
21134,7473.439,25
21414,7570.83,220
21497,7603.388,184
21768,7702.761,1458
21994,7785.944,22
22197,7851.287,476
22206,7853.573,323
22234,7861.83,313
22429,7933.332,3918
22440,7936.419,2501
22766,8046.993,255
23230,8214.205,649
23381,8264.651,281
23428,8278.202,96
23505,8304.443,372
24154,8548.708,1542
24258,8578.579,112
24260,8579.283,314
24461,8648.21,108
24495,8660.178,23
24547,8677.376,108
24582,8690.401,627
24922,8806.669,274
25002,8828.557,475
25083,8858.572,1021
25137,8872.796,418
25237,8905.099,115
25623,9041.127,402
25688,9064.279,304
25828,9117.654,776
25918,9149.861,430
26526,9372.975,220
26614,9401.982,211
26928,9495.5,360
27241,9606.857,394
27382,9659.879,176
27390,9663.96,148
27557,9725.59,1878
27739,9799.028,535
27864,9841.491,1001
27921,9858.083,82
28097,9920.097,2403
28208,9963.76,273
28576,10076.381,467
28628,10095.932,602
29046,10245.609,468
29349,10360.63,558
29742,10501.779,192
29763,10510.578,287
31211,11020.134,261
31334,11064.228,1074
31747,11216.081,312
32041,11309.519,258
32132,11341.582,265
32153,11348.974,337
32401,11439.227,911
32516,11481.69,638
32648,11528.506,512
32872,11617.783,167
33015,11662.614,125
33261,11747.748,292
33304,11766.227,198
33438,11817.618,182
33974,12001.997,1230
34414,12165.065,575
35006,12374.213,37
35260,12468.77,497
35313,12491.697,221
35489,12554.848,561
35620,12594.527,1908
35739,12634.638,138
35803,12655.71,1623
35862,12672.589,1413
36260,12813.226,301
36400,12858.505,213
36479,12883.944,77
36591,12923.239,2004
36599,12929.751,379
36759,12986.934,951
36813,13005.125,904
37088,13110.051,34
37105,13115.555,361
37136,13124.113,486
37593,13282.782,379
37674,13308.622,330
37764,13339.645,378
37995,13427.611,108
38394,13562.296,444
38468,13588.119,284
38731,13690.308,743
39057,13813.457,154
39451,13963.374,890
39456,13964.894,3698
39539,13994.045,399
39568,14002.652,1959
40138,14209.319,1641
40364,14291.478,239
40426,14315.621,443
40770,14437.346,241
40836,14465.186,606
40858,14472.497,2910
41088,14552.704,1866
41421,14673.725,1714
41549,14722.043,1513
41761,14798.677,498
41764,14799.689,63
41833,14825.497,1177
41854,14833.001,16
42394,15020.26,891
42767,15148.849,485
42963,15218.991,1162
43237,15310.509,765
43304,15331.086,313
44029,15582.583,510
44315,15684.692,96
44636,15802.945,626
44677,15820.465,1621
44885,15896.879,923
46349,16405.203,40
46390,16420.066,642
46716,16535.776,403
46748,16547.376,40
46818,16571.838,386
46936,16619.47,757
47058,16662.12,343
47153,16692.428,146
47177,16696.924,587
47236,16717.164,3402
47444,16791.546,32
47493,16811.113,26
47532,16825.225,348
47564,16836.089,58
47660,16868.376,895
47767,16905.126,492
48177,17053.812,1607
48275,17092.834,1385
48330,17113.554,2046
48347,17118.018,176
48487,17177.585,169
49072,17367.531,21
49365,17484.889,3964
49427,17504.856,532
49474,17526.056,286
49947,17698.996,1082
49979,17710.788,411
50082,17748.387,1220
50152,17775.09,1275
50213,17796.914,1065
50301,17829.457,39
50342,17842.96,94
50413,17873.552,800
50427,17880.72,233
50435,17883.216,202
51531,18272.183,341
51618,18304.758,332
51714,18339.029,3295
52630,18657.645,14
52631,18658.493,25
52950,18771.275,4035
53067,18814.233,545
53576,18982.581,1421
53596,18989.285,902
54052,19156.338,251
54423,19290.782,892
54710,19398.187,767
54737,19408.556,602
55383,19652.246,677
55521,19701.428,586
55582,19727.236,114
56308,19986.718,1527
56556,20082.284,2286
56573,20086.748,1140
57256,20323.366,2066
57914,20557.584,14
58687,20848.506,1490
59434,21116.483,64
59730,21227.521,21
59793,21245.211,51
59807,21252.88,328
60017,21322.206,1117
60042,21329.599,857
60280,21417.02,1076
60302,21425.276,365
61358,21803.859,167
61411,21823.635,409
61719,21940.128,66
62186,22110.492,244
62283,22142.651,842
62312,22156.059,824
62326,22159.963,22
62346,22165.803,2656
62954,22394.501,2936
63044,22427.253,110
63082,22442.708,877
63300,22518.019,505
63413,22562.353,2565
63541,22606.657,1045
63550,22611.312,492
64191,22845.499,432
64354,22902.938,986
64417,22924.041,107
64876,23096.132,318
65573,23352.498,343
66020,23523.159,109
66065,23540.198,58
66101,23560.052,955
66312,23637.311,228
66630,23746.745,42
66824,23817.86,147
66863,23833.298,1599
66944,23866.88,555
66977,23881.631,2483
67327,24017.847,895
67466,24067.028,119
67571,24109.313,349
67699,24157.021,115
67814,24194.827,312
68116,24307.093,298
68123,24311.653,143
68433,24432.637,557
68437,24434.493,832
68506,24453.926,17
68564,24476.458,479
68631,24500.008,879
68805,24563.397,962
69488,24811.814,389
69604,24855.378,496
69764,24912.687,46
69969,24994.186,978
70085,25044.136,360
70294,25113.092,79
70320,25122.051,118
70393,25147.393,419
71059,25392.323,354
71300,25478.382,61
71326,25487.438,212
71373,25507.949,152
71473,25541.035,282
71669,25613.831,338
72017,25747.456,1129
72168,25803.772,295
72370,25875.592,1787
73858,26419.195,438
73920,26437.706,249
74839,26763.272,636
75124,26869.267,375
75163,26884.019,2058
75255,26914.113,136
75355,26950.719,905
75623,27038.779,94
75654,27050.345,316
75763,27089.912,16
75794,27101.016,248
75847,27116.807,184
75928,27152.437,1321
76280,27283.566,81
76444,27341.307,37
76451,27343.147,369
76499,27362.714,197
76565,27387.513,208
76570,27389.705,2829
76960,27526.909,290
77053,27554.849,88
77293,27642.732,57
77298,27643.804,2267
77449,27695.785,1270
77465,27702.938,976
77469,27704.234,325
77478,27708.297,243
77909,27861.314,597
77930,27869.633,144
78084,27924.142,245
78252,27983.692,1042
78648,28120.981,226
78767,28166.386,396
79025,28250.431,306
79031,28252.079,67
79160,28291.229,1172
79298,28339.259,803
79483,28403.416,676
79718,28483.765,494
80092,28624.654,182
80301,28701.434,194
80478,28771.558,270
80497,28778.342,738
80510,28783.687,226
80592,28805.605,160
81202,29039.755,45
81203,29040.043,449
81242,29053.226,63
81678,29212.339,248
81773,29246.017,114
81778,29250.193,1005
81812,29263.856,1167
82794,29598.754,245
83146,29727.741,326
83247,29763.019,26
83428,29826.76,383
83510,29854.007,1590
83782,29953.858,45
83785,29955.155,364
83888,29994.561,611
84036,30043.903,322
84082,30059.631,969
84451,30185.752,394
84659,30253.174,613
84752,30282.998,98
84759,30285.781,1739
85715,30619.207,77
86003,30716.995,51
86397,30846.349,1548
86415,30850.638,42
86525,30885.34,195
86911,31025.799,250
87318,31171.009,165
87351,31184.657,138
87423,31210.479,259
87557,31264.909,72
87571,31269.485,102
87924,31404.056,1082
88062,31454.997,104
88488,31607.419,33
88585,31644.142,488
88916,31764.042,53
88956,31775.145,174
88961,31775.913,39
89276,31895.732,870
89398,31945.282,43
89797,32093.421,244
89841,32108.06,656
89848,32109.34,1032
90100,32194.521,832
90318,32281.542,1157
90620,32394.386,342
91298,32645.304,88
91388,32679.607,111
91749,32808.578,2306
91846,32849.473,159
92066,32923.166,3965
92316,33004.603,572
92329,33009.562,117
92511,33071.705,365
92617,33116.439,219
92856,33201.268,1448
93152,33296.304,512
93366,33367.454,1292
93447,33393.676,424
93791,33508.841,827
94008,33589.894,514
94049,33603.702,12
94104,33627.829,1175
94310,33706.034,182
94381,33733.121,623
94448,33757.423,171
94521,33781.631,1544
94660,33828.27,684
94695,33844.013,10
94705,33848.076,346
94777,33874.444,19
94883,33911.034,252
95179,34018.263,666
95583,34148.754,1758
95869,34250.399,288
96072,34317.5,811
96212,34362.027,147
96472,34459.24,115
96617,34509.206,1390
96677,34532.885,206
96726,34556.132,1750
96769,34570.643,221
97365,34781.292,517
97719,34903.897,1115
98056,35016.037,399
98453,35156.88,544
98481,35169.712,10
98569,35197.838,91
98749,35262.029,440
98959,35339.514,313
99633,35579.906,1805
100043,35727.949,254
100388,35846.073,159
100640,35933.607,15
100695,35952.15,658
101095,36093.409,603
101168,36117.04,1596
101601,36282.988,363
101622,36289.515,932
102236,36521.635,739
102526,36625.968,223
102548,36635.999,280
102953,36774.103,114
103160,36850.729,736
103346,36909.304,680
103409,36928.775,62
103740,37043.731,35
104024,37137.52,555
104344,37253.229,599
104473,37291.611,507
104693,37373.641,88
104974,37469.238,1963
105092,37510.149,361
105185,37539.315,401
105283,37574.419,17
105324,37593.186,316
105367,37605.426,347
105421,37626.225,505
105473,37643.712,1639
105786,37754.701,588
105876,37782.093,59
106049,37850.042,136
106074,37857.802,510
106097,37868.074,116
106913,38153.649,330
107089,38226.927,1087
107514,38370.187,1671
107778,38464.84,360
108296,38644.866,208
108297,38645.986,15
108687,38780.638,558
108907,38858.668,829
109014,38894.267,280
109284,38993.416,1286
109330,39010.552,441
109446,39044.183,438
109775,39147.827,266
109794,39155.268,1823
109946,39211.249,23
109992,39227.633,977
110009,39233.713,365
110416,39374.301,353
110485,39403.212,82
110715,39493.673,1557
110804,39526.745,132
111326,39703.075,295
111402,39732.691,241
111591,39796.833,329
111911,39905.182,107
112105,39969.196,1174
112124,39974.476,569
112309,40040.298,1157
112412,40077.032,38
112896,40257.347,102
112994,40289.362,585
113048,40312.85,279
113157,40350.704,1109
113794,40576.01,91
114032,40661.736,159
114252,40743.19,103
114718,40913.649,2912
115045,41030.589,396
115337,41142.282,259
115349,41146.234,362
115486,41197.369,718
115510,41207.256,49
115536,41217.08,1437
115647,41250.871,767
116007,41371.956,12
116050,41390.659,797
116338,41492.721,56
116400,41512.16,1151
116598,41587.23,76
116618,41592.925,2662
117187,41805.208,421
117313,41841.895,44
117470,41892.134,323
117645,41954.003,23
117672,41964.947,1416
117722,41984.515,440
117748,41992.26,323
117956,42065.377,780
118240,42171.678,1484
118362,42217.436,1065
118381,42223.66,68
118574,42287.147,413
118831,42377.976,689
118955,42424.695,76
119966,42776.429,15
120293,42887.642,512
120379,42920.585,616
120383,42921.177,882
120404,42927.497,395
120730,43041.798,345
121095,43167.587,124
121147,43189.842,20
121405,43281.536,726
121438,43292.015,269
121797,43426.731,349
122039,43515.001,1357
122108,43539.625,21
122112,43540.408,678
122122,43544.569,92
122207,43575.272,1347
122208,43575.336,85
123165,43910.255,84
123329,43971.405,301
123417,44006.268,229
123435,44011.815,494
123861,44164.599,274
123993,44207.398,603
124384,44347.827,169
124695,44459.68,322
124916,44533.47,40
125021,44574.205,2215
125242,44647.707,510
125361,44688.394,231
125434,44715.177,226
125442,44717.61,287
125581,44766.344,197
125835,44849.398,79
125922,44880.293,382
125987,44900.372,3617
126242,44990.53,130
126415,45055.505,287
126616,45131.054,217
126648,45140.398,361
126742,45179.069,222
126956,45254.891,327
127045,45282.998,287
127082,45295.93,1183
127672,45505.829,1022
128582,45834.556,947
128836,45927.673,399
129650,46215.234,54
129814,46265.313,173
129878,46285.745,595
130013,46333.584,58
130128,46371.918,395
130590,46525.994,53
130828,46612.632,681
130976,46670.567,74
131001,46678.035,1887
131049,46693.75,278
131159,46733.877,141
131376,46814.483,2710
131399,46818.995,319
131405,46820.787,513
131436,46835.762,228
131453,46840.754,1048
131516,46863.154,92
131658,46917.408,845
131737,46942.447,37
131841,46979.503,22
132689,47265.095,571
132718,47273.719,19
133009,47368.085,2115
133199,47438.338,80
133223,47446.547,520
133464,47536.529,471
133762,47640.862,1310
133962,47717.387,499
134257,47829.961,100
134420,47882.119,52
134421,47882.327,287
134613,47950.326,1132
134750,47993.573,290
134878,48044.564,572
135139,48142.641,385
135329,48212.848,979
135695,48330.093,18
135879,48400.347,17
136099,48477.352,1580
136479,48615.76,826
136553,48635.477,88
136700,48685.332,40
136819,48725.842,343
136827,48729.218,775
137570,48985.26,565
137698,49032.203,13
137743,49049.978,1184
138105,49182.679,29
138192,49213.814,843
138201,49216.231,115
138436,49293.428,115
138586,49352.883,295
138661,49381.426,1084
138766,49417.265,1945
139272,49606.828,12
139545,49707.226,578
139658,49752.505,991
139798,49802.36,109
140630,50090.769,122
140905,50188.142,322
140927,50195.806,810
141055,50240.829,216
141088,50256.108,323
141147,50279.148,79
141369,50365.129,868
141986,50582.052,125
142267,50673.17,2965
142389,50714.417,215
142455,50740.848,402
142565,50776.383,27
142906,50888.46,581
143500,51081.832,1174
143529,51091.72,1084
143749,51166.773,3214
143807,51186.325,312
143841,51200.005,66
144072,51283.603,557
144369,51380.497,217
144514,51439.647,149
144602,51469.071,184
144612,51472.559,1115
145153,51676.697,1640
145422,51775.91,893
145556,51832.79,99
145634,51863.941,167
145912,51955.059,116
146187,52044.096,1635
146226,52054.64,90
146239,52061.024,1474
146243,52061.696,1001
146286,52081.759,747
146758,52251.387,151
146878,52297.194,2216
146955,52324.297,304
147092,52371.8,628
147219,52414.743,1491
147361,52461.974,116
147827,52635.186,51
147838,52639.666,469
147845,52642.913,245
148079,52718.735,1217
148162,52746.319,118
148368,52817.966,36
148923,53032.68,153
149165,53132.63,32
149222,53150.886,773
149337,53190.356,1783
149346,53194.484,917
149381,53204.932,222
149435,53224.452,652
149588,53279.682,506
149744,53335.089,556
149927,53395.648,227
150602,53630.474,506
150932,53736.391,164
151125,53802.47,82
151426,53909.187,242
151571,53964.866,772
151674,54001.089,718
151700,54008.24,159
151730,54021.377,156
151964,54108.158,693
152173,54173.74,48
152186,54179.212,1564
152224,54187.692,1846
152369,54240.107,403
152483,54283.114,221
152809,54396.055,44
152908,54427.543,1082
152979,54451.718,307
153924,54786.863,844
154008,54820.764,107
154517,55004.761,731
154612,55040.535,921
154819,55111.526,179
155056,55200.692,670
155283,55284.802,94
155467,55347.344,1345
155707,55431.102,372
155736,55444.654,1364
155865,55492.141,483
155894,55498.621,221
155952,55520.7,85
156110,55572.533,423
156160,55593.098,717
156205,55604.986,22
156227,55611.754,508
156355,55657.128,522
156532,55719.863,225
156562,55734.631,534
156777,55812.005,222
157203,55965.483,946
158167,56292.469,62
158872,56552.116,85
158994,56592.658,307
159039,56605.58,1006
159748,56866.768,546
159811,56887.294,88
160376,57102.257,751
160751,57232.92,1714
160973,57310.435,277
161533,57516.871,294
162487,57852.386,887
162638,57900.047,31
162783,57954.284,511
163283,58149.793,156
163818,58358.165,409
164020,58429.776,3253
164132,58466.287,186
164261,58511.755,13
164478,58592.263,178
164604,58639.797,105
165474,58953.923,372
165563,58982.941,171
165728,59039.423,91
165744,59044.35,789
166148,59189.047,134
166473,59303.531,1108
166523,59315.04,20
166650,59361.229,231
166689,59375.836,1176
166721,59385.452,200
166752,59397.819,849
