N_event,t_trig,tP3
405,4.144,2506
3758,38.382,1935
3842,39.232,2227
7772,79.356,1599
15541,158.666,285
16183,165.213,2927
31985,326.534,3514
45184,461.283,3975
51704,527.858,4073
62153,634.546,3329
62290,635.951,3316
64535,658.879,946
76636,782.414,2578
80172,818.509,3685
88710,905.659,979
90804,927.035,1841
91509,934.233,2070
92077,940.027,740
92637,945.752,177
93564,955.208,2966
93979,959.449,1023
95754,977.56,3495
99384,1014.615,966
111833,1141.671,3730
119641,1221.379,968
119834,1223.347,317
129195,1318.867,3170
131873,1346.208,386
136684,1395.298,174
141503,1444.476,3605
143058,1460.347,1130
145767,1487.994,3908
149918,1530.358,3483
155338,1585.668,1224
167548,1710.28,223
172711,1762.966,1050
174152,1777.673,3768
175439,1790.807,3374
181838,1856.115,3539
187560,1914.515,2398
195928,1999.919,4008
200158,2043.086,4075
204004,2082.332,2249
204552,2087.932,3842
206450,2107.294,2406
210208,2145.658,2037
222585,2271.958,2018
222743,2273.574,3179
224167,2288.102,643
227460,2321.717,1737
232205,2370.134,785
236250,2411.427,505
241838,2468.465,2952
244073,2491.281,685
247221,2523.408,1201
249287,2544.495,3243
255531,2608.221,841
257701,2630.368,259
261043,2664.476,3108
271038,2766.489,1262
271315,2769.308,2395
271885,2775.129,298
272195,2778.297,3928
272619,2782.618,3264
273793,2794.601,2357
274159,2798.345,3685
274579,2802.619,58
276354,2820.744,1636
279572,2853.577,2985
280626,2864.343,1044
287042,2929.829,2132
292401,2984.518,1566
306543,3128.865,3121
307486,3138.483,2026
310724,3171.535,3198
313265,3197.471,2111
315793,3223.278,2843
317758,3243.326,1904
317966,3245.454,2207
319790,3264.063,3122
319995,3266.159,725
328142,3349.31,601
334115,3410.269,2356
339786,3468.152,1874
341163,3482.202,648
342022,3490.97,2204
342354,3494.359,737
352813,3601.093,3566
362496,3699.92,1076
368896,3765.242,2943
379444,3872.888,1735
391013,3990.964,3344
391466,3995.587,3644
411408,4199.13,1528
411589,4200.971,1818
419306,4279.735,1274
421900,4306.214,3990
423458,4322.117,2056
438622,4476.881,1759
444654,4538.447,1515
457796,4672.57,902
459630,4691.276,3925
460839,4703.626,1750
468341,4780.184,517
468656,4783.4,3889
468982,4786.727,2927
470244,4799.607,2004
474168,4839.64,1949
475961,4857.941,547
478266,4881.461,1477
485322,4953.459,692
495218,5054.433,3726
497038,5073.009,1481
500049,5103.743,1246
500998,5113.425,559
502701,5130.8,3210
505735,5161.773,1505
512787,5233.742,1661
516840,5275.114,469
517504,5281.898,4034
520828,5315.833,317
523954,5347.736,619
525680,5365.352,3284
526972,5378.536,2498
529033,5399.575,3706
532347,5433.401,1950
536557,5476.375,2720
540526,5516.9,3722
541257,5524.356,1729
556501,5679.95,541
565237,5769.128,3654
565827,5775.146,4069
568752,5805.014,3466
572370,5841.94,1909
583577,5956.352,892
586293,5984.078,3392
595387,6076.91,2525
602776,6152.346,1048
605430,6179.447,2111
607380,6199.351,570
614920,6276.339,173
616251,6289.938,497
621740,6345.971,3366
622007,6348.704,4085
628944,6419.534,1789
629524,6425.454,1957
632012,6450.847,111
633188,6462.86,1897
636050,6492.076,565
636964,6501.403,1622
637522,6507.099,250
639025,6522.443,1653
640438,6536.874,129
648393,6618.072,1770
656402,6699.813,3980
661007,6746.82,1708
662541,6762.469,3996
669715,6835.697,3198
681235,6953.263,3194
686195,7003.887,1796
689736,7040.031,1554
690678,7049.646,2056
692332,7066.525,63
693507,7078.522,3422
694030,7083.867,2361
695450,7098.361,1455
699666,7141.385,2727
700802,7152.984,2681
701834,7163.513,4075
703029,7175.707,1520
704390,7189.608,1297
707589,7222.249,3334
708647,7233.046,2320
724326,7393.074,2508
725259,7402.594,1283
725967,7409.826,1463
727617,7426.657,299
730424,7455.313,2282
745436,7608.523,2724
746329,7617.643,3234
752657,7682.218,431
757467,7731.304,3027
757749,7734.183,2471
758254,7739.335,398
762380,7781.445,1882
766432,7822.803,1463
772292,7882.622,1382
772599,7885.745,2625
782514,7986.937,4002
791175,8075.333,3124
792321,8087.029,956
794730,8111.62,679
795070,8115.079,2190
796353,8128.179,3303
797349,8138.341,2858
804572,8212.064,1045
808453,8251.678,2432
815300,8321.564,1108
817934,8348.443,1611
822414,8394.17,615
823975,8410.105,4027
