N_event,t_trig,tP2
20,14.543,107
75,34.03,1278
412,158.507,113
540,204.568,448
615,228.039,2464
775,285.11,989
836,301.51,355
1075,371.491,82
1099,380.339,288
1460,501.472,412
1630,555.774,71
2193,737.459,460
2246,755.209,756
2675,910.196,1177
2780,940.915,277
3077,1052.704,335
3167,1085.887,80
3215,1101.454,1781
3267,1120.542,771
3497,1207.803,19
3514,1212.075,243
3572,1230.826,668
3605,1239.738,69
3760,1296.473,1322
3800,1313.16,615
4364,1504.482,265
4406,1518.866,1346
4524,1558.049,127
4707,1625.198,34
4777,1648.637,1144
4779,1650.222,71
5002,1731.036,883
5028,1740.7,1028
5056,1749.675,224
5398,1864.473,1128
5646,1946.117,555
5668,1954.661,1035
5906,2041.683,387
5993,2070.657,604
6672,2301.259,48
6723,2318.555,12
6958,2402.28,114
6965,2404.44,41
6989,2413.032,332
7063,2441.351,186
7153,2470.279,24
7211,2488.886,7
7487,2584.419,81
7611,2626.466,578
7884,2724.479,541
7916,2735.466,240
7984,2757.055,1137
8205,2837.308,142
8220,2842.412,826
8333,2886.299,331
8432,2917.001,70
8679,3000.92,161
8738,3021.783,384
8886,3080.006,135
9245,3202.898,213
9247,3203.426,21
9351,3237.249,407
9580,3312.831,2981
9657,3342.862,769
9915,3442.891,29
9962,3460.427,102
9965,3460.635,2714
10035,3487.145,366
10056,3499.418,77
10148,3531.128,159
10215,3556.36,818
10238,3563.928,376
10285,3577.079,725
10463,3640.006,201
10792,3755.747,305
10867,3781.954,174
11026,3842.448,2378
11195,3896.447,184
11574,4032.267,100
11616,4050.267,515
11705,4083.706,784
11755,4100.953,22
11882,4145.175,679
12267,4283.94,146
12504,4362.321,54
12641,4414.529,829
12756,4453.519,900
12957,4523.598,336
13249,4633.146,188
13260,4636.298,138
13370,4671.754,261
13465,4704.456,377
13555,4735.767,370
13602,4747.911,1234
13775,4803.509,40
13892,4844.085,160
13903,4849.316,991
13931,4859.604,1157
13935,4861.028,744
13983,4880.548,30
14108,4929.63,54
14154,4944.178,465
14556,5095.215,1022
14587,5104.734,1791
14695,5146.012,604
14782,5178.828,507
14825,5192.907,367
14959,5234.922,9
15012,5249.77,591
15148,5301.785,639
15275,5347.511,952
15455,5411.909,284
15634,5472.052,1656
15636,5472.692,459
15696,5497.955,737
15802,5536.994,1380
15945,5587.585,1440
16094,5636.848,59
16104,5641.055,201
16149,5659.871,450
16155,5661.103,94
16261,5696.126,1689
16387,5738.541,28
16468,5761.932,1884
16689,5839.626,564
16762,5863.066,2557
16807,5882.409,218
17050,5979.719,854
17214,6048.677,38
17221,6050.661,672
17368,6108.307,1514
17833,6273.135,804
18296,6441.642,1793
18333,6455.77,706
18409,6486.297,1256
18719,6594.566,110
18901,6657.093,58
18962,6681.572,553
18981,6688.548,317
19072,6718.995,274
19178,6755.538,1257
19248,6779.73,971
19587,6897.023,118
19680,6932.414,353
20018,7049.85,272
20047,7059.738,930
20094,7076.65,166
20098,7077.146,1375
20149,7101.049,667
20312,7170.647,387
20464,7235.397,562
20477,7240.677,227
20484,7243.478,413
20648,7305.796,2034
20725,7333.907,176
20745,7341.907,129
21100,7463.553,972
21114,7468.767,666
21134,7473.439,22
21348,7551.901,111
21414,7570.83,220
21497,7603.388,184
21506,7606.108,236
21640,7654.203,760
21768,7702.761,1459
21783,7710.41,99
21818,7724.393,227
21994,7785.944,22
22197,7851.287,476
22206,7853.573,323
22346,7902.068,62
22440,7936.419,2501
22495,7953.491,63
22766,8046.993,257
22949,8109.391,630
23139,8184.253,2431
23230,8214.205,649
23237,8215.836,1057
23381,8264.651,281
23428,8278.202,96
23505,8304.443,373
23752,8401.992,1546
24258,8578.579,112
24260,8579.283,314
24461,8648.21,108
24495,8660.178,24
24547,8677.376,108
24582,8690.401,627
24620,8707.872,348
24653,8716.544,237
24922,8806.669,274
25083,8858.572,1020
25116,8867.804,107
25137,8872.796,418
25688,9064.279,303
25758,9091.318,759
25918,9149.861,431
26508,9368.927,3884
26526,9372.975,220
26540,9377.407,107
26614,9401.982,211
26928,9495.5,361
27241,9606.857,395
27382,9659.879,175
27390,9663.96,149
27523,9712.423,29
27739,9799.028,534
27864,9841.491,1000
27921,9858.083,81
27988,9882.178,271
28097,9920.097,2403
28135,9936.177,1320
28192,9956.832,823
28208,9963.76,273
28269,9982.256,203
28576,10076.381,469
28628,10095.932,600
28920,10197.242,751
29046,10245.609,468
29106,10269.897,464
29349,10360.63,556
29742,10501.779,192
29763,10510.578,288
29802,10526.354,313
29820,10534.082,1095
30118,10641.391,20
31029,10955.447,1078
31112,10984.695,2806
31211,11020.134,261
31246,11032.182,3659
31334,11064.228,1073
31691,11195.585,86
31747,11216.081,312
31782,11227.505,121
32041,11309.519,259
32132,11341.582,264
32153,11348.974,337
32355,11423.964,168
32401,11439.227,911
32516,11481.69,638
32648,11528.506,511
32666,11534.057,51
32911,11632.438,283
32980,11653.174,1298
33015,11662.614,125
33108,11693.237,15
33261,11747.748,291
33304,11766.227,199
33438,11817.618,182
34414,12165.065,575
34543,12209.32,168
34664,12255.527,3743
35006,12374.213,36
35238,12460.338,275
35489,12554.848,561
35620,12594.527,1907
35739,12634.638,138
35803,12655.71,1623
35960,12710.843,336
36260,12813.226,300
36400,12858.505,212
36479,12883.944,77
36481,12884.888,389
36599,12929.751,379
36759,12986.934,951
36813,13005.125,904
37088,13110.051,34
37105,13115.555,361
37136,13124.113,485
37593,13282.782,379
37603,13287.694,139
37674,13308.622,330
38394,13562.296,444
38468,13588.119,283
38731,13690.308,743
39013,13791.89,710
39057,13813.457,154
39168,13852.289,1042
39451,13963.374,890
39456,13964.894,3697
39539,13994.045,397
39897,14123.818,510
39995,14159.961,827
40138,14209.319,1641
40144,14211.319,243
40364,14291.478,237
40370,14293.83,953
40426,14315.621,442
40619,14379.988,135
40770,14437.346,241
40836,14465.186,605
40858,14472.497,2908
41088,14552.704,1865
41221,14599.006,353
41421,14673.725,1713
41549,14722.043,1513
41761,14798.677,497
41764,14799.689,63
41833,14825.497,1175
41854,14833.001,15
41883,14844.648,18
42254,14970.593,63
42394,15020.26,891
42767,15148.849,484
42949,15215.872,1240
43304,15331.086,313
43451,15379.74,1898
44029,15582.583,510
44315,15684.692,92
44636,15802.945,626
44677,15820.465,1622
44885,15896.879,922
44886,15897.071,790
45075,15957.454,111
45245,16024.092,252
45311,16046.252,1509
45626,16153.081,15
45722,16185.401,1694
46390,16420.066,642
46748,16547.376,40
46927,16615.213,290
46936,16619.47,758
47058,16662.12,342
47108,16679.725,1063
47153,16692.428,143
47177,16696.924,586
47191,16700.572,1424
47276,16729.531,3653
47291,16735.323,119
47355,16753.93,31
47425,16781.066,98
47444,16791.546,33
47476,16803.994,53
47532,16825.225,348
47564,16836.089,58
47577,16839.097,266
